AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2017,68755,Socorro,68,Santander,3808.0,Santander (ETC),5828,95.8,95.66,65.33,95.42,88.64,53.14,110.04,97.67,109.37,125.6,90.26,27.701,48.48,2.35,3.44,2.73,2.12,1.47,91.56,0.0,93.69,88.39,91.9,6.09,0.0,3.58,9.49,6.63,0.67,0.0,0.21,1.51,0.0
2017,68770,Suaita,68,Santander,3808.0,Santander (ETC),1934,99.3,99.28,52.0,97.83,92.22,56.27,109.57,71.43,110.83,123.99,99.04,25.647,33.33,2.04,4.0,1.52,1.99,3.07,92.53,0.0,93.05,90.03,95.79,5.43,0.0,5.43,7.98,1.15,1.84,1.6,1.52,2.42,1.53
2017,68773,Sucre,68,Santander,3808.0,Santander (ETC),1806,75.5,75.47,50.61,71.8,68.11,40.41,84.44,76.22,87.32,89.95,70.55,15.953,14.81,1.51,1.6,1.19,1.71,2.15,91.2,1.6,94.67,85.47,89.25,7.29,1.6,4.15,12.82,8.6,0.28,0.0,0.0,0.85,0.0
2017,68780,Suratá,68,Santander,3808.0,Santander (ETC),603,106.1,106.14,66.67,111.33,80.51,43.88,119.24,98.15,133.98,120.0,90.82,18.889,13.79,2.08,0.0,1.75,3.5,1.32,90.18,5.66,95.34,81.0,88.16,7.74,5.66,2.92,15.5,10.53,2.68,0.0,2.92,4.0,0.0
2017,68820,Tona,68,Santander,3808.0,Santander (ETC),1463,84.2,84.14,57.26,83.93,77.75,45.56,92.41,92.74,98.52,97.92,66.53,24.057,19.23,2.15,0.91,2.79,2.13,0.68,93.54,0.0,94.77,90.05,94.59,4.31,0.0,2.44,7.82,4.73,0.08,0.0,0.0,0.24,0.0
2017,68855,Valle de San José,68,Santander,3808.0,Santander (ETC),865,117.3,117.34,67.53,118.54,117.22,62.26,126.82,110.39,130.9,150.55,84.91,26.688,53.85,2.22,2.53,1.15,3.06,3.39,90.8,0.0,91.92,86.07,96.61,6.98,0.0,6.93,10.86,0.0,1.72,3.8,2.31,1.11,0.0
2017,68861,Vélez,68,Santander,3808.0,Santander (ETC),4345,79.1,79.13,32.2,70.18,73.94,55.07,92.22,68.59,84.14,105.31,99.86,24.804,25.49,2.38,2.28,1.76,3.17,2.17,90.14,0.46,95.26,85.17,85.57,7.48,0.46,2.98,11.67,12.25,1.92,0.0,1.83,3.17,0.0
2017,68867,Vetas,68,Santander,3808.0,Santander (ETC),576,55.6,55.56,37.25,53.06,49.47,43.48,61.46,60.78,60.0,62.77,63.04,21.417,16.67,0.3,0.0,0.68,0.0,0.0,91.32,0.0,93.2,86.49,91.11,8.38,0.0,6.12,13.51,8.89,0.0,0.0,0.0,0.0,0.0
2017,68872,Villanueva,68,Santander,3808.0,Santander (ETC),967,117.3,116.96,46.91,113.9,116.09,72.89,134.33,104.94,127.79,162.78,110.24,30.704,28.57,3.05,7.06,1.61,3.07,5.67,89.7,0.0,92.15,88.65,82.27,7.24,0.0,6.24,8.27,12.06,0.87,0.0,0.4,1.42,1.42
2017,70001,Sincelejo,70,Sucre,3814.0,Sincelejo,60179,98.5,98.37,77.49,98.41,81.0,48.86,111.53,108.29,119.15,113.08,92.18,28.659,94.85,2.39,2.72,2.02,2.89,2.05,87.57,0.0,89.2,82.94,89.27,10.05,0.0,8.78,14.17,8.68,0.87,0.11,0.78,1.29,0.41
2017,70110,Buenavista,70,Sucre,3813.0,Sucre (ETC),2284,91.2,91.11,43.46,89.19,72.66,42.15,104.07,89.01,114.66,105.47,80.99,20.713,27.27,5.07,4.11,3.35,8.1,3.18,81.17,1.37,82.64,76.25,82.27,13.77,1.37,14.01,15.65,14.55,4.83,0.0,4.16,6.75,4.55
2017,70124,Caimito,70,Sucre,3813.0,Sucre (ETC),2841,103.9,103.91,69.32,101.01,83.04,36.46,117.49,111.55,132.52,125.11,68.75,29.661,33.33,2.37,1.43,2.13,2.94,2.42,85.76,0.0,85.7,81.43,89.97,11.87,0.0,12.18,15.63,7.61,0.34,0.0,0.52,0.28,0.0
2017,70204,Colosó,70,Sucre,3813.0,Sucre (ETC),1293,129.4,129.39,89.91,120.74,115.62,47.91,149.57,136.7,161.11,170.63,85.12,15.649,46.67,0.91,1.34,0.49,1.55,0.0,82.43,2.01,82.64,75.27,98.62,16.66,2.01,16.87,23.18,1.38,0.51,0.0,0.12,1.24,0.0
2017,70215,Corozal,70,Sucre,3813.0,Sucre (ETC),13196,106.4,106.35,66.83,103.31,89.4,56.65,123.0,140.46,127.1,123.45,104.72,27.091,18.92,1.67,3.04,1.21,2.03,1.21,88.92,0.39,91.24,84.16,88.23,9.41,0.39,7.55,13.81,10.56,1.11,1.72,0.87,1.42,0.6
2017,70221,Coveñas,70,Sucre,3813.0,Sucre (ETC),3456,96.1,95.83,60.9,96.45,75.37,50.18,112.5,147.06,117.25,105.34,97.54,23.651,23.08,2.33,8.47,0.88,2.44,2.08,88.58,0.0,93.81,81.46,85.86,9.09,0.0,5.31,16.1,12.06,3.24,0.0,0.75,8.27,2.08
2017,70230,Chalán,70,Sucre,3813.0,Sucre (ETC),1067,89.0,89.03,35.16,76.23,72.07,51.74,112.46,100.0,116.82,115.92,100.58,31.074,44.44,2.89,2.2,3.36,2.97,1.53,83.14,0.0,83.86,76.76,88.55,13.97,0.0,12.78,20.27,9.92,4.05,0.0,4.71,5.68,0.0
